Office,Party,County Name,Candidate Name,Votes/Percentage,
Governor,Republican Party,ALAMOSA,Greg Lopez,238,
Governor,Republican Party,ARAPAHOE,Greg Lopez,"5,920",
Governor,Republican Party,ARCHULETA,Greg Lopez,324,
Governor,Republican Party,BACA,Greg Lopez,130,
Governor,Republican Party,BENT,Greg Lopez,103,
Governor,Republican Party,BOULDER,Greg Lopez,"1,890",
Governor,Republican Party,BROOMFIELD,Greg Lopez,692,
Governor,Republican Party,CHAFFEE,Greg Lopez,358,
Governor,Republican Party,CHEYENNE,Greg Lopez,107,
Governor,Republican Party,CLEAR CREEK,Greg Lopez,116,
Governor,Republican Party,CONEJOS,Greg Lopez,210,
Governor,Republican Party,COSTILLA,Greg Lopez,28,
Governor,Republican Party,CROWLEY,Greg Lopez,178,
Governor,Republican Party,CUSTER,Greg Lopez,380,
Governor,Republican Party,DELTA,Greg Lopez,566,
Governor,Republican Party,DENVER,Greg Lopez,"3,228",
Governor,Republican Party,DOLORES,Greg Lopez,55,
Governor,Republican Party,DOUGLAS,Greg Lopez,"5,278",
Governor,Republican Party,EAGLE,Greg Lopez,281,
Governor,Republican Party,EL PASO,Greg Lopez,"13,045",
Governor,Republican Party,ELBERT,Greg Lopez,"1,169",
Governor,Republican Party,FREMONT,Greg Lopez,"1,226",
Governor,Republican Party,GARFIELD,Greg Lopez,467,
Governor,Republican Party,GILPIN,Greg Lopez,58,
Governor,Republican Party,GRAND,Greg Lopez,259,
Governor,Republican Party,GUNNISON,Greg Lopez,161,
Governor,Republican Party,HINSDALE,Greg Lopez,41,
Governor,Republican Party,HUERFANO,Greg Lopez,136,
Governor,Republican Party,JACKSON,Greg Lopez,56,
Governor,Republican Party,JEFFERSON,Greg Lopez,"7,597",
Governor,Republican Party,KIOWA,Greg Lopez,77,
Governor,Republican Party,KIT CARSON,Greg Lopez,153,
Governor,Republican Party,LA PLATA,Greg Lopez,591,
Governor,Republican Party,LAKE,Greg Lopez,44,
Governor,Republican Party,LARIMER,Greg Lopez,"4,171",
Governor,Republican Party,LAS ANIMAS,Greg Lopez,247,
Governor,Republican Party,LINCOLN,Greg Lopez,230,
Governor,Republican Party,LOGAN,Greg Lopez,485,
Governor,Republican Party,MESA,Greg Lopez,"2,387",
Governor,Republican Party,MINERAL,Greg Lopez,21,
Governor,Republican Party,MOFFAT,Greg Lopez,294,
Governor,Republican Party,MONTEZUMA,Greg Lopez,442,
Governor,Republican Party,MONTROSE,Greg Lopez,918,
Governor,Republican Party,MORGAN,Greg Lopez,498,
Governor,Republican Party,OTERO,Greg Lopez,407,
Governor,Republican Party,OURAY,Greg Lopez,85,
Governor,Republican Party,PARK,Greg Lopez,566,
Governor,Republican Party,PHILLIPS,Greg Lopez,151,
Governor,Republican Party,PITKIN,Greg Lopez,52,
Governor,Republican Party,PROWERS,Greg Lopez,241,
Governor,Republican Party,PUEBLO,Greg Lopez,"1,389",
Governor,Republican Party,RIO BLANCO,Greg Lopez,132,
Governor,Republican Party,RIO GRANDE,Greg Lopez,234,
Governor,Republican Party,ROUTT,Greg Lopez,198,
Governor,Republican Party,SAGUACHE,Greg Lopez,80,
Governor,Republican Party,SAN JUAN,Greg Lopez,17,
Governor,Republican Party,SAN MIGUEL,Greg Lopez,38,
Governor,Republican Party,SEDGWICK,Greg Lopez,48,
Governor,Republican Party,SUMMIT,Greg Lopez,203,
Governor,Republican Party,TELLER,Greg Lopez,912,
Governor,Republican Party,WASHINGTON,Greg Lopez,165,
Governor,Republican Party,WELD,Greg Lopez,"3,023",
Governor,Republican Party,YUMA,Greg Lopez,260,
Governor,Republican Party,TOTAL,Greg Lopez,"66,432",
Governor,Republican Party,PERCENTAGE,Greg Lopez,13.20%,
Governor,Republican Party,ADAMS,Doug Robinson,"2,260",
Governor,Republican Party,ALAMOSA,Doug Robinson,164,
Governor,Republican Party,ARAPAHOE,Doug Robinson,"4,947",
Governor,Republican Party,ARCHULETA,Doug Robinson,161,
Governor,Republican Party,BACA,Doug Robinson,133,
Governor,Republican Party,BENT,Doug Robinson,40,
Governor,Republican Party,BOULDER,Doug Robinson,"1,628",
Governor,Republican Party,BROOMFIELD,Doug Robinson,709,
Governor,Republican Party,CHAFFEE,Doug Robinson,218,
Governor,Republican Party,CHEYENNE,Doug Robinson,51,
Governor,Republican Party,CLEAR CREEK,Doug Robinson,89,
Governor,Republican Party,CONEJOS,Doug Robinson,173,
Governor,Republican Party,COSTILLA,Doug Robinson,13,
Governor,Republican Party,CROWLEY,Doug Robinson,42,
Governor,Republican Party,CUSTER,Doug Robinson,84,
Governor,Republican Party,DELTA,Doug Robinson,357,
Governor,Republican Party,DENVER,Doug Robinson,"2,720",
Governor,Republican Party,DOLORES,Doug Robinson,63,
Governor,Republican Party,DOUGLAS,Doug Robinson,"3,633",
Governor,Republican Party,EAGLE,Doug Robinson,263,
Governor,Republican Party,EL PASO,Doug Robinson,"6,176",
Governor,Republican Party,ELBERT,Doug Robinson,388,
Governor,Republican Party,FREMONT,Doug Robinson,648,
Governor,Republican Party,GARFIELD,Doug Robinson,455,
Governor,Republican Party,GILPIN,Doug Robinson,38,
Governor,Republican Party,GRAND,Doug Robinson,164,
Governor,Republican Party,GUNNISON,Doug Robinson,90,
Governor,Republican Party,HINSDALE,Doug Robinson,21,
Governor,Republican Party,HUERFANO,Doug Robinson,58,
Governor,Republican Party,JACKSON,Doug Robinson,39,
Governor,Republican Party,JEFFERSON,Doug Robinson,"5,285",
Governor,Republican Party,KIOWA,Doug Robinson,19,
Governor,Republican Party,KIT CARSON,Doug Robinson,81,
Governor,Republican Party,LA PLATA,Doug Robinson,442,
Governor,Republican Party,LAKE,Doug Robinson,21,
Governor,Republican Party,LARIMER,Doug Robinson,"3,217",
Governor,Republican Party,LAS ANIMAS,Doug Robinson,110,
Governor,Republican Party,LINCOLN,Doug Robinson,63,
Governor,Republican Party,LOGAN,Doug Robinson,476,
Governor,Republican Party,MESA,Doug Robinson,"2,927",
Governor,Republican Party,MINERAL,Doug Robinson,13,
Governor,Republican Party,MOFFAT,Doug Robinson,238,
Governor,Republican Party,MONTEZUMA,Doug Robinson,383,
Governor,Republican Party,MONTROSE,Doug Robinson,858,
Governor,Republican Party,MORGAN,Doug Robinson,239,
Governor,Republican Party,OTERO,Doug Robinson,230,
Governor,Republican Party,OURAY,Doug Robinson,51,
Governor,Republican Party,PARK,Doug Robinson,306,
Governor,Republican Party,PHILLIPS,Doug Robinson,100,
Governor,Republican Party,PITKIN,Doug Robinson,84,
Governor,Republican Party,PROWERS,Doug Robinson,114,
Governor,Republican Party,PUEBLO,Doug Robinson,975,
Governor,Republican Party,RIO BLANCO,Doug Robinson,119,
Governor,Republican Party,RIO GRANDE,Doug Robinson,146,
Governor,Republican Party,ROUTT,Doug Robinson,173,
Governor,Republican Party,SAGUACHE,Doug Robinson,31,
Governor,Republican Party,SAN JUAN,Doug Robinson,1,
Governor,Republican Party,SAN MIGUEL,Doug Robinson,31,
Governor,Republican Party,SEDGWICK,Doug Robinson,37,
Governor,Republican Party,SUMMIT,Doug Robinson,163,
Governor,Republican Party,TELLER,Doug Robinson,262,
Governor,Republican Party,WASHINGTON,Doug Robinson,98,
Governor,Republican Party,WELD,Doug Robinson,"1,975",
Governor,Republican Party,YUMA,Doug Robinson,234,
Governor,Republican Party,TOTAL,Doug Robinson,"45,327",
Governor,Republican Party,PERCENTAGE,Doug Robinson,9.01%,
Governor,Republican Party,ADAMS,Victor Mitchell,"8,287",
Governor,Republican Party,ALAMOSA,Victor Mitchell,403,
Governor,Republican Party,ARAPAHOE,Victor Mitchell,"13,947",
Governor,Republican Party,ARCHULETA,Victor Mitchell,688,
Governor,Republican Party,BACA,Victor Mitchell,408,
Governor,Republican Party,BENT,Victor Mitchell,209,
Governor,Republican Party,BOULDER,Victor Mitchell,"4,484",
Governor,Republican Party,BROOMFIELD,Victor Mitchell,"1,749",
Governor,Republican Party,CHAFFEE,Victor Mitchell,"1,180",
Governor,Republican Party,CHEYENNE,Victor Mitchell,244,
Governor,Republican Party,CLEAR CREEK,Victor Mitchell,257,
Governor,Republican Party,CONEJOS,Victor Mitchell,301,
Governor,Republican Party,COSTILLA,Victor Mitchell,75,
Governor,Republican Party,CROWLEY,Victor Mitchell,162,
Governor,Republican Party,CUSTER,Victor Mitchell,389,
Governor,Republican Party,DELTA,Victor Mitchell,"1,960",
Governor,Republican Party,DENVER,Victor Mitchell,"6,324",
Governor,Republican Party,DOLORES,Victor Mitchell,253,
Governor,Republican Party,DOUGLAS,Victor Mitchell,"12,457",
Governor,Republican Party,EAGLE,Victor Mitchell,662,
Governor,Republican Party,EL PASO,Victor Mitchell,"26,437",
Governor,Republican Party,ELBERT,Victor Mitchell,"2,087",
Governor,Republican Party,FREMONT,Victor Mitchell,"3,403",
Governor,Republican Party,GARFIELD,Victor Mitchell,"1,288",
Governor,Republican Party,GILPIN,Victor Mitchell,169,
Governor,Republican Party,GRAND,Victor Mitchell,721,
Governor,Republican Party,GUNNISON,Victor Mitchell,410,
Governor,Republican Party,HINSDALE,Victor Mitchell,61,
Governor,Republican Party,HUERFANO,Victor Mitchell,239,
Governor,Republican Party,JACKSON,Victor Mitchell,127,
Governor,Republican Party,JEFFERSON,Victor Mitchell,"16,576",
Governor,Republican Party,KIOWA,Victor Mitchell,138,
Governor,Republican Party,KIT CARSON,Victor Mitchell,570,
Governor,Republican Party,LA PLATA,Victor Mitchell,"1,210",
Governor,Republican Party,LAKE,Victor Mitchell,136,
Governor,Republican Party,LARIMER,Victor Mitchell,"8,025",
Governor,Republican Party,LAS ANIMAS,Victor Mitchell,416,
Governor,Republican Party,LINCOLN,Victor Mitchell,335,
Governor,Republican Party,LOGAN,Victor Mitchell,"1,568",
Governor,Republican Party,MESA,Victor Mitchell,"5,701",
Governor,Republican Party,MINERAL,Victor Mitchell,59,
Governor,Republican Party,MOFFAT,Victor Mitchell,"1,023",
Governor,Republican Party,MONTEZUMA,Victor Mitchell,999,
Governor,Republican Party,MONTROSE,Victor Mitchell,"2,402",
Governor,Republican Party,MORGAN,Victor Mitchell,"1,271",
Governor,Republican Party,OTERO,Victor Mitchell,823,
Governor,Republican Party,OURAY,Victor Mitchell,247,
Governor,Republican Party,PARK,Victor Mitchell,"1,426",
Governor,Republican Party,PHILLIPS,Victor Mitchell,474,
Governor,Republican Party,PITKIN,Victor Mitchell,115,
Governor,Republican Party,PROWERS,Victor Mitchell,703,
Governor,Republican Party,PUEBLO,Victor Mitchell,"3,963",
Governor,Republican Party,RIO BLANCO,Victor Mitchell,464,
Governor,Republican Party,RIO GRANDE,Victor Mitchell,565,
Governor,Republican Party,ROUTT,Victor Mitchell,517,
Governor,Republican Party,SAGUACHE,Victor Mitchell,148,
Governor,Republican Party,SAN JUAN,Victor Mitchell,24,
Governor,Republican Party,SAN MIGUEL,Victor Mitchell,81,
Governor,Republican Party,SEDGWICK,Victor Mitchell,192,
Governor,Republican Party,SUMMIT,Victor Mitchell,380,
Governor,Republican Party,TELLER,Victor Mitchell,"1,604",
Governor,Republican Party,WASHINGTON,Victor Mitchell,555,
Governor,Republican Party,WELD,Victor Mitchell,"8,512",
Governor,Republican Party,YUMA,Victor Mitchell,982,
Governor,Republican Party,TOTAL,Victor Mitchell,"151,585",
Governor,Republican Party,PERCENTAGE,Victor Mitchell,30.12%,
Secretary of State,Democratic Party,ADAMS,Jena Griswold,"34,367",
Secretary of State,Democratic Party,ALAMOSA,Jena Griswold,"1,265",
Secretary of State,Democratic Party,ARAPAHOE,Jena Griswold,"55,764",
Secretary of State,Democratic Party,ARCHULETA,Jena Griswold,911,
Secretary of State,Democratic Party,BACA,Jena Griswold,202,
Secretary of State,Democratic Party,BENT,Jena Griswold,341,
Secretary of State,Democratic Party,BOULDER,Jena Griswold,"49,940",
Secretary of State,Democratic Party,BROOMFIELD,Jena Griswold,"8,646",
Secretary of State,Democratic Party,CHAFFEE,Jena Griswold,"2,224",
Secretary of State,Democratic Party,CHEYENNE,Jena Griswold,51,
Secretary of State,Democratic Party,CLEAR CREEK,Jena Griswold,"1,213",
Secretary of State,Democratic Party,CONEJOS,Jena Griswold,841,
Secretary of State,Democratic Party,COSTILLA,Jena Griswold,867,
Secretary of State,Democratic Party,CROWLEY,Jena Griswold,188,
Secretary of State,Democratic Party,CUSTER,Jena Griswold,345,
Secretary of State,Democratic Party,DELTA,Jena Griswold,"1,926",
Secretary of State,Democratic Party,DENVER,Jena Griswold,"102,156",
Secretary of State,Democratic Party,DOLORES,Jena Griswold,113,
Secretary of State,Democratic Party,DOUGLAS,Jena Griswold,"22,976",
Secretary of State,Democratic Party,EAGLE,Jena Griswold,"4,038",
Secretary of State,Democratic Party,EL PASO,Jena Griswold,"38,876",
Secretary of State,Democratic Party,ELBERT,Jena Griswold,"1,222",
Secretary of State,Democratic Party,FREMONT,Jena Griswold,"2,491",
Secretary of State,Democratic Party,GARFIELD,Jena Griswold,"3,961",
Secretary of State,Democratic Party,GILPIN,Jena Griswold,729,
Secretary of State,Democratic Party,GRAND,Jena Griswold,"1,183",
Secretary of State,Democratic Party,GUNNISON,Jena Griswold,"1,559",
Secretary of State,Democratic Party,HINSDALE,Jena Griswold,45,
Secretary of State,Democratic Party,HUERFANO,Jena Griswold,981,
Secretary of State,Democratic Party,JACKSON,Jena Griswold,50,
Secretary of State,Democratic Party,JEFFERSON,Jena Griswold,"65,942",
Secretary of State,Democratic Party,KIOWA,Jena Griswold,58,
Secretary of State,Democratic Party,KIT CARSON,Jena Griswold,209,
Secretary of State,Democratic Party,LA PLATA,Jena Griswold,"5,009",
Secretary of State,Democratic Party,LAKE,Jena Griswold,659,
Secretary of State,Democratic Party,LARIMER,Jena Griswold,"35,161",
Secretary of State,Democratic Party,LAS ANIMAS,Jena Griswold,"1,725",
Secretary of State,Democratic Party,LINCOLN,Jena Griswold,159,
Secretary of State,Democratic Party,LOGAN,Jena Griswold,818,
Secretary of State,Democratic Party,MESA,Jena Griswold,"9,007",
Secretary of State,Democratic Party,MINERAL,Jena Griswold,175,
Secretary of State,Democratic Party,MOFFAT,Jena Griswold,332,
Secretary of State,Democratic Party,MONTEZUMA,Jena Griswold,"1,695",
Secretary of State,Democratic Party,MONTROSE,Jena Griswold,"2,075",
Secretary of State,Democratic Party,MORGAN,Jena Griswold,"1,119",
Secretary of State,Democratic Party,OTERO,Jena Griswold,"1,392",
Secretary of State,Democratic Party,OURAY,Jena Griswold,672,
Secretary of State,Democratic Party,PARK,Jena Griswold,"1,230",
Secretary of State,Democratic Party,PHILLIPS,Jena Griswold,141,
Secretary of State,Democratic Party,PITKIN,Jena Griswold,"2,169",
Secretary of State,Democratic Party,PROWERS,Jena Griswold,486,
Secretary of State,Democratic Party,PUEBLO,Jena Griswold,"16,425",
Secretary of State,Democratic Party,RIO BLANCO,Jena Griswold,142,
Secretary of State,Democratic Party,RIO GRANDE,Jena Griswold,773,
Secretary of State,Democratic Party,ROUTT,Jena Griswold,"2,360",
Secretary of State,Democratic Party,SAGUACHE,Jena Griswold,601,
Secretary of State,Democratic Party,SAN JUAN,Jena Griswold,75,
Secretary of State,Democratic Party,SAN MIGUEL,Jena Griswold,"1,040",
Secretary of State,Democratic Party,SEDGWICK,Jena Griswold,116,
Secretary of State,Democratic Party,SUMMIT,Jena Griswold,"2,873",
Secretary of State,Democratic Party,TELLER,Jena Griswold,"1,509",
Secretary of State,Democratic Party,WASHINGTON,Jena Griswold,112,
Secretary of State,Democratic Party,WELD,Jena Griswold,"14,840",
Secretary of State,Democratic Party,YUMA,Jena Griswold,333,
Secretary of State,Democratic Party,TOTAL,Jena Griswold,"510,903",
Secretary of State,Democratic Party,PERCENTAGE,Jena Griswold,100.00%,WINNER
Secretary of State,Republican Party,ADAMS,Wayne Williams,"22,599",
Secretary of State,Republican Party,ALAMOSA,Wayne Williams,"1,285",
Secretary of State,Republican Party,ARAPAHOE,Wayne Williams,"41,624",
Secretary of State,Republican Party,ARCHULETA,Wayne Williams,"1,576",
Secretary of State,Republican Party,BACA,Wayne Williams,891,
Secretary of State,Republican Party,BENT,Wayne Williams,493,
Secretary of State,Republican Party,BOULDER,Wayne Williams,"13,194",
Secretary of State,Republican Party,BROOMFIELD,Wayne Williams,"5,223",
Secretary of State,Republican Party,CHAFFEE,Wayne Williams,"1,996",
Secretary of State,Republican Party,CHEYENNE,Wayne Williams,483,
Secretary of State,Republican Party,CLEAR CREEK,Wayne Williams,800,
Secretary of State,Republican Party,CONEJOS,Wayne Williams,949,
Secretary of State,Republican Party,COSTILLA,Wayne Williams,163,
Secretary of State,Republican Party,CROWLEY,Wayne Williams,521,
Secretary of State,Republican Party,CUSTER,Wayne Williams,"1,057",
Secretary of State,Republican Party,DELTA,Wayne Williams,"4,109",
Secretary of State,Republican Party,DENVER,Wayne Williams,"20,324",
Secretary of State,Republican Party,DOLORES,Wayne Williams,454,
Secretary of State,Republican Party,DOUGLAS,Wayne Williams,"33,397",
Secretary of State,Republican Party,EAGLE,Wayne Williams,"1,995",
Secretary of State,Republican Party,EL PASO,Wayne Williams,"70,352",
Secretary of State,Republican Party,ELBERT,Wayne Williams,"5,321",
Secretary of State,Republican Party,FREMONT,Wayne Williams,"6,661",
Secretary of State,Republican Party,GARFIELD,Wayne Williams,"3,798",
Secretary of State,Republican Party,GILPIN,Wayne Williams,471,
Secretary of State,Republican Party,GRAND,Wayne Williams,"1,379",
Secretary of State,Republican Party,GUNNISON,Wayne Williams,897,
Secretary of State,Republican Party,HINSDALE,Wayne Williams,174,
Secretary of State,Republican Party,HUERFANO,Wayne Williams,622,
Secretary of State,Republican Party,JACKSON,Wayne Williams,346,
Secretary of State,Republican Party,JEFFERSON,Wayne Williams,"47,874",
Secretary of State,Republican Party,KIOWA,Wayne Williams,324,
Secretary of State,Republican Party,KIT CARSON,Wayne Williams,"1,096",
Secretary of State,Republican Party,LA PLATA,Wayne Williams,"3,452",
Secretary of State,Republican Party,LAKE,Wayne Williams,250,
Secretary of State,Republican Party,LARIMER,Wayne Williams,"26,742",
Secretary of State,Republican Party,LAS ANIMAS,Wayne Williams,"1,083",
Secretary of State,Republican Party,LINCOLN,Wayne Williams,811,
Secretary of State,Republican Party,LOGAN,Wayne Williams,"3,581",
Secretary of State,Republican Party,MESA,Wayne Williams,"17,935",
Secretary of State,Republican Party,MINERAL,Wayne Williams,130,
Secretary of State,Republican Party,MOFFAT,Wayne Williams,"2,207",
Secretary of State,Republican Party,MONTEZUMA,Wayne Williams,"2,470",
Secretary of State,Republican Party,MONTROSE,Wayne Williams,"5,532",
Secretary of State,Republican Party,MORGAN,Wayne Williams,"3,079",
Secretary of State,Republican Party,OTERO,Wayne Williams,"2,175",
Secretary of State,Republican Party,OURAY,Wayne Williams,556,
Secretary of State,Republican Party,PARK,Wayne Williams,"2,883",
Secretary of State,Republican Party,PHILLIPS,Wayne Williams,942,
Secretary of State,Republican Party,PITKIN,Wayne Williams,557,
Secretary of State,Republican Party,PROWERS,Wayne Williams,"1,470",
Secretary of State,Republican Party,PUEBLO,Wayne Williams,"10,086",
Secretary of State,Republican Party,RIO BLANCO,Wayne Williams,"1,081",
Secretary of State,Republican Party,RIO GRANDE,Wayne Williams,"1,469",
Secretary of State,Republican Party,ROUTT,Wayne Williams,"1,511",
Secretary of State,Republican Party,SAGUACHE,Wayne Williams,380,
Secretary of State,Republican Party,SAN JUAN,Wayne Williams,38,
Secretary of State,Republican Party,SAN MIGUEL,Wayne Williams,246,
Secretary of State,Republican Party,SEDGWICK,Wayne Williams,405,
Secretary of State,Republican Party,SUMMIT,Wayne Williams,"1,300",
Secretary of State,Republican Party,TELLER,Wayne Williams,"3,723",
Secretary of State,Republican Party,WASHINGTON,Wayne Williams,"1,236",
Secretary of State,Republican Party,WELD,Wayne Williams,"23,064",
Secretary of State,Republican Party,YUMA,Wayne Williams,"2,084",
Secretary of State,Republican Party,TOTAL,Wayne Williams,"414,926",
Secretary of State,Republican Party,PERCENTAGE,Wayne Williams,100.00%,WINNER
State Treasurer,Democratic Party,ADAMS,Dave Young,"26,855",
State Treasurer,Democratic Party,ALAMOSA,Dave Young,"1,016",
State Treasurer,Democratic Party,ARAPAHOE,Dave Young,"40,528",
State Treasurer,Democratic Party,ARCHULETA,Dave Young,678,
State Treasurer,Democratic Party,BACA,Dave Young,169,
State Treasurer,Democratic Party,BENT,Dave Young,274,
State Treasurer,Democratic Party,BOULDER,Dave Young,"33,982",
State Treasurer,Democratic Party,BROOMFIELD,Dave Young,"6,087",
State Treasurer,Democratic Party,CHAFFEE,Dave Young,"1,451",
State Treasurer,Democratic Party,CHEYENNE,Dave Young,47,
State Treasurer,Democratic Party,CLEAR CREEK,Dave Young,796,
State Treasurer,Democratic Party,CONEJOS,Dave Young,682,
State Treasurer,Democratic Party,COSTILLA,Dave Young,683,
State Treasurer,Democratic Party,CROWLEY,Dave Young,165,
State Treasurer,Democratic Party,CUSTER,Dave Young,255,
State Treasurer,Democratic Party,DELTA,Dave Young,"1,385",
State Treasurer,Democratic Party,DENVER,Dave Young,"65,602",
State Treasurer,Democratic Party,DOLORES,Dave Young,82,
State Treasurer,Democratic Party,DOUGLAS,Dave Young,"16,907",
State Treasurer,Democratic Party,EAGLE,Dave Young,"2,786",
State Treasurer,Democratic Party,EL PASO,Dave Young,"28,591",
State Treasurer,Democratic Party,ELBERT,Dave Young,871,
State Treasurer,Democratic Party,FREMONT,Dave Young,"1,812",
State Treasurer,Democratic Party,GARFIELD,Dave Young,"2,889",
State Treasurer,Democratic Party,GILPIN,Dave Young,507,
State Treasurer,Democratic Party,GRAND,Dave Young,829,
State Treasurer,Democratic Party,GUNNISON,Dave Young,"1,018",
State Treasurer,Democratic Party,HINSDALE,Dave Young,35,
State Treasurer,Democratic Party,HUERFANO,Dave Young,743,
State Treasurer,Democratic Party,JACKSON,Dave Young,34,
State Treasurer,Democratic Party,JEFFERSON,Dave Young,"46,434",
State Treasurer,Democratic Party,KIOWA,Dave Young,56,
State Treasurer,Democratic Party,KIT CARSON,Dave Young,167,
State Treasurer,Democratic Party,LA PLATA,Dave Young,"3,343",
State Treasurer,Democratic Party,LAKE,Dave Young,491,
State Treasurer,Democratic Party,LARIMER,Dave Young,"25,216",
State Treasurer,Democratic Party,LAS ANIMAS,Dave Young,"1,351",
State Treasurer,Democratic Party,LINCOLN,Dave Young,126,
State Treasurer,Democratic Party,LOGAN,Dave Young,690,
State Treasurer,Democratic Party,MESA,Dave Young,"6,470",
State Treasurer,Democratic Party,MINERAL,Dave Young,118,
State Treasurer,Democratic Party,MOFFAT,Dave Young,273,
State Treasurer,Democratic Party,MONTEZUMA,Dave Young,"1,154",
State Treasurer,Democratic Party,MONTROSE,Dave Young,"1,576",
State Treasurer,Democratic Party,MORGAN,Dave Young,879,
State Treasurer,Democratic Party,OTERO,Dave Young,"1,096",
State Treasurer,Democratic Party,OURAY,Dave Young,436,
State Treasurer,Democratic Party,PARK,Dave Young,849,
State Treasurer,Democratic Party,PHILLIPS,Dave Young,116,
State Treasurer,Democratic Party,PITKIN,Dave Young,"1,400",
State Treasurer,Democratic Party,PROWERS,Dave Young,418,
State Treasurer,Democratic Party,PUEBLO,Dave Young,"12,678",
State Treasurer,Democratic Party,RIO BLANCO,Dave Young,110,
State Treasurer,Democratic Party,RIO GRANDE,Dave Young,625,
State Treasurer,Democratic Party,ROUTT,Dave Young,"1,737",
State Treasurer,Democratic Party,SAGUACHE,Dave Young,451,
State Treasurer,Democratic Party,SAN JUAN,Dave Young,54,
State Treasurer,Democratic Party,SAN MIGUEL,Dave Young,665,
State Treasurer,Democratic Party,SEDGWICK,Dave Young,85,
State Treasurer,Democratic Party,SUMMIT,Dave Young,"2,012",
State Treasurer,Democratic Party,TELLER,Dave Young,"1,041",
State Treasurer,Democratic Party,WASHINGTON,Dave Young,103,
State Treasurer,Democratic Party,WELD,Dave Young,"13,046",
State Treasurer,Democratic Party,YUMA,Dave Young,270,
State Treasurer,Democratic Party,TOTAL,Dave Young,"363,295",
State Treasurer,Democratic Party,PERCENTAGE,Dave Young,67.48%,WINNER
State Treasurer,Democratic Party,ADAMS,Bernard Douthit,"10,383",
State Treasurer,Democratic Party,ALAMOSA,Bernard Douthit,330,
State Treasurer,Democratic Party,ARAPAHOE,Bernard Douthit,"19,308",
State Treasurer,Democratic Party,ARCHULETA,Bernard Douthit,303,
State Treasurer,Democratic Party,BACA,Bernard Douthit,48,
State Treasurer,Democratic Party,BENT,Bernard Douthit,85,
State Treasurer,Democratic Party,BOULDER,Bernard Douthit,"19,792",
State Treasurer,Democratic Party,BROOMFIELD,Bernard Douthit,"2,961",
State Treasurer,Democratic Party,CHAFFEE,Bernard Douthit,724,
State Treasurer,Democratic Party,CHEYENNE,Bernard Douthit,14,
State Treasurer,Democratic Party,CLEAR CREEK,Bernard Douthit,451,
State Treasurer,Democratic Party,CONEJOS,Bernard Douthit,210,
State Treasurer,Democratic Party,COSTILLA,Bernard Douthit,218,
State Treasurer,Democratic Party,CROWLEY,Bernard Douthit,54,
State Treasurer,Democratic Party,CUSTER,Bernard Douthit,122,
State Treasurer,Democratic Party,DELTA,Bernard Douthit,672,
State Treasurer,Democratic Party,DENVER,Bernard Douthit,"38,129",
State Treasurer,Democratic Party,DOLORES,Bernard Douthit,43,
State Treasurer,Democratic Party,DOUGLAS,Bernard Douthit,"7,901",
State Treasurer,Democratic Party,EAGLE,Bernard Douthit,"1,276",
State Treasurer,Democratic Party,EL PASO,Bernard Douthit,"13,056",
State Treasurer,Democratic Party,ELBERT,Bernard Douthit,381,
State Treasurer,Democratic Party,FREMONT,Bernard Douthit,800,
State Treasurer,Democratic Party,GARFIELD,Bernard Douthit,"1,319",
State Treasurer,Democratic Party,GILPIN,Bernard Douthit,266,
State Treasurer,Democratic Party,GRAND,Bernard Douthit,462,
State Treasurer,Democratic Party,GUNNISON,Bernard Douthit,570,
State Treasurer,Democratic Party,HINSDALE,Bernard Douthit,14,
State Treasurer,Democratic Party,HUERFANO,Bernard Douthit,302,
State Treasurer,Democratic Party,JACKSON,Bernard Douthit,22,
State Treasurer,Democratic Party,JEFFERSON,Bernard Douthit,"21,376",
State Treasurer,Democratic Party,KIOWA,Bernard Douthit,8,
State Treasurer,Democratic Party,KIT CARSON,Bernard Douthit,59,
State Treasurer,Democratic Party,LA PLATA,Bernard Douthit,"1,619",
State Treasurer,Democratic Party,LAKE,Bernard Douthit,195,
State Treasurer,Democratic Party,LARIMER,Bernard Douthit,"12,580",
State Treasurer,Democratic Party,LAS ANIMAS,Bernard Douthit,467,
State Treasurer,Democratic Party,LINCOLN,Bernard Douthit,53,
State Treasurer,Democratic Party,LOGAN,Bernard Douthit,197,
State Treasurer,Democratic Party,MESA,Bernard Douthit,"2,975",
State Treasurer,Democratic Party,MINERAL,Bernard Douthit,72,
State Treasurer,Democratic Party,MOFFAT,Bernard Douthit,82,
State Treasurer,Democratic Party,MONTEZUMA,Bernard Douthit,566,
State Treasurer,Democratic Party,MONTROSE,Bernard Douthit,794,
State Treasurer,Democratic Party,MORGAN,Bernard Douthit,346,
State Treasurer,Democratic Party,OTERO,Bernard Douthit,372,
State Treasurer,Democratic Party,OURAY,Bernard Douthit,263,
State Treasurer,Democratic Party,PARK,Bernard Douthit,422,
State Treasurer,Democratic Party,PHILLIPS,Bernard Douthit,43,
State Treasurer,Democratic Party,PITKIN,Bernard Douthit,649,
State Treasurer,Democratic Party,PROWERS,Bernard Douthit,125,
State Treasurer,Democratic Party,PUEBLO,Bernard Douthit,"4,554",
State Treasurer,Democratic Party,RIO BLANCO,Bernard Douthit,34,
State Treasurer,Democratic Party,RIO GRANDE,Bernard Douthit,216,
State Treasurer,Democratic Party,ROUTT,Bernard Douthit,734,
